Date	Parasitoid_Origin	Hour_treatment	Sugar_treatment	Code	Glucose	Fructose	Sucrose	Maltose	Erlose	Melezitose	Stachyose	GF_Ratio	H_Ratio	TotSug	Type	Tmt.12
13/12/2017	Sa	0h	Unfed	1a	27,24506484	1,369992201	0,997741137	2,096666559	0	0,163266272	0,270022446	0,95212338	0,070309248	32,14275345	Parasitoid	Unfed
13/12/2017	Sa	0h	Unfed	2a	15,41343263	1,611692472	0,755351044	0,3383528	0	0,103335423	0	0,905334471	0,024239065	18,22216437	Parasitoid	Unfed
13/12/2017	Sa	0h	Unfed	3a	16,86159719	1,371461256	0,575430341	0,49357723	0	0,171392225	0	0,924781612	0,034147476	19,47345824	Parasitoid	Unfed
13/12/2017	Sa	0h	Unfed	4a	14,26334459	1,746215569	0,747067989	0	0	0,112736372	0	0,890926699	0,006682906	16,86936452	Parasitoid	Unfed
13/12/2017	Sa	0h	Unfed	5a	13,32599196	0,911723753	0,03640735	0	0	0,058281676	0	0,935964183	0,004066427	14,33240474	Parasitoid	Unfed
13/12/2017	Ap	0h	ApH	6a	17,22535451	5,73321952	0,358072267	1,138050969	0	0	0	0,750279808	0,046537111	24,45469726	Parasitoid	Honeydew
13/12/2017	Ap	0h	ApH	7a	28,00397864	5,771843203	1,107292551	2,418087311	1,07346145	0,057758254	0,319257092	0,829113168	0,091591052	38,7516785	Parasitoid	Honeydew
13/12/2017	Ap	0h	ApH	8a	27,71817491	20,34247271	4,544849535	4,777208039	6,96193717	0,063789228	0,374122984	0,576733279	0,1821931	64,78255458	Parasitoid	Honeydew
13/12/2017	Ap	0h	SaH	9a	24,12483743	28,35623395	17,62063108	3,341746066	8,409444449	0	0	0,459686451	0,143564755	81,85289297	Parasitoid	Honeydew
13/12/2017	Ap	0h	SaH	10a	29,71453529	3,516707749	0,610149744	1,225080689	0	0,221254061	0,356536787	0,894174655	0,040576928	35,64426432	Parasitoid	Honeydew
13/12/2017	Ap	0h	SaH	11a	3,497004982	1,58094744	0,090804368	0,247535248	0,426463247	0	0	0,688664385	0,115356277	5,842755285	Parasitoid	Honeydew
13/12/2017	Ap	0h	VfN	12a	41,69001996	23,48383259	1,675951317	2,23332934	0	0,061675245	0,33127964	0,639674015	0,033033014	69,47608809	Parasitoid	Nectar
13/12/2017	Ap	0h	VfN	13a	107,3464238	64,61402026	14,42918873	0,673117668	0	0,294745593	0,193417926	0,624250678	0,005160536	187,550914	Parasitoid	Nectar
13/12/2017	Ap	0h	VfN	14a	62,77288997	28,57638354	3,409494303	1,229322574	0	0,120427253	0,55030477	0,687174485	0,013964062	96,65882241	Parasitoid	Nectar
13/12/2017	Ap	0h	Unfed	17a	16,89506248	1,443433131	0,097872185	0	0	0	0	0,921289447	0	18,4363678	Parasitoid	Unfed
14/12/2017	Ap	0h	ApH	18a	15,61136735	10,11151236	11,25679918	1,312174089	2,889986702	0,25853493	0	0,606905896	0,107641298	41,44037461	Parasitoid	Honeydew
14/12/2017	Ap	0h	ApH	19a	30,6565865	9,875653454	5,934621732	1,965985505	1,036972099	0,259632868	0,149419098	0,756350661	0,065410271	49,87887126	Parasitoid	Honeydew
14/12/2017	Ap	0h	SaH	20a	18,56749369	1,789061518	0,495289952	1,047931746	0	0,090376053	0	0,912113739	0,051764433	21,99015296	Parasitoid	Honeydew
14/12/2017	Ap	0h	SaH	21a	13,8091511	1,486522544	0,124491925	0,459566207	0	0,070328746	0	0,902814183	0,033222128	15,95006052	Parasitoid	Honeydew
14/12/2017	Ap	0h	VfN	22a	72,81518212	48,0086556	6,169905291	1,731066909	0	0	0,968556018	0,602655763	0,013347382	129,6933659	Parasitoid	Nectar
