Sample	Field	Field_type	Field_position	Date	Species	Dry_weight_mg	Glucose	Fructose	Sucrose	Stachyose	Maltose	Erlose	Melezitose	Trehalose	GF_Ratio	TotSug	H_Ratio
A300	I3	Intercrop	5m	09-mai	A._ervi	0.105	45.44830558	23.41293287	4.154012346	1.037075447	4.03907456	0	0.378485508	0	0.659998376	78.46988632	0.0562962465624737
A342	S3	Triticale	5m	03-mai	A._ervi	0.289	12.32924936	1.584887154	0.88716817	0.284845362	0.093674281	0	0.75800566	1.451781618	0.886095184	15.93782999	0.0534376349562253
A351	S3	Triticale	5m	03-mai	A._ervi	0.19	15.5246315	7.172496854	1.185578349	0.348587962	0.364229857	0	0.030473391	2.214337769	0.683990999	24.62599791	0.0160279087752103
A52	S3	Triticale	50m	03-mai	Aphidius_sp.	0.084	48.01059569	34.41113228	3.130124345	0.608497065	1.435010652	0	0.208338081	4.379060795	0.582499262	87.80369811	0.0187161676372813
A247	S3	Triticale	5m	08-mai	Aphidius_sp.	0.092	4.963394442	6.67906666	1.189792402	0.319012907	0.023371739	0	0.140753878	2.763386	0.426318319	13.31539203	0.0123260071224505
A123	S2	Triticale	5m	09-mai	Aphidius_sp.	0.113	7.887124214	2.23709056	1.06513711	0.340372993	0.025189869	0	0.321782464	3.156606909	0.779035648	11.87669721	0.0292145473497341
A153	S2	Triticale	5m	03-mai	Aphidius_sp.	0.119	29.64439783	9.577667321	2.091244309	0.62356072	0.868454796	0	0.285687002	9.538785052	0.755809204	43.09101198	0.0267838174358884
A209	S2	Triticale	50m	09-mai	A._rhopalosiphi	0.133	13.51806795	2.69526907	1.240793787	0.267350898	0.043060456	0	0.138637278	2.240035718	0.833762225	17.90317944	0.0101489087236675
A336	S3	Triticale	5m	03-mai	A._colemani_?	0.101	9.900138357	2.25137016	2.385086513	0.308220714	0.097602844	0	0.766394631	3.46036106	0.814725048	15.70881322	0.055000811512609
A326	S2	Triticale	50m	11-mai	Aphidius_sp.	0.151	12.76630727	1.949381926	1.28100501	0.347723208	0.155953464	0	0.744686747	2.549150254	0.867530368	17.24505763	0.052225990212594
A283	I3	Intercrop	50m	09-mai	A._rhopalosiphi	0.188	14.40362863	2.137444026	2.191251927	0.285104696	0.307280355	0	0.230047739	3.403731218	0.8707796	19.55475737	0.0274781263624546
A310	I3	Intercrop	5m	09-mai	Aphidius_sp.	0.214	27.64906533	9.185753419	11.22851402	0.635736273	0.893795494	0	0.030387052	5.080043868	0.750623086	49.62325158	0.0186239820361244
A339	S3	Triticale	5m	03-mai	A._ervi	0.239	18.45911622	3.583066118	1.185409969	0.363622073	0.433933749	0	0.228348213	0.573795718	0.837445038	24.25349635	0.0273066593138849
A343	S3	Triticale	5m	03-mai	A._ervi	0.179	40.46578772	16.1498343	2.110309261	0.412043956	0.151821249	0	0.059326418	0.898403563	0.714745971	59.34912291	0.00355772177661656
A350	S3	Triticale	5m	03-mai	A._ervi	0.303	12.07000797	3.565478125	2.320504485	0.282650785	0.094049526	0	0.464024481	0.491147059	0.771962438	18.79671537	0.0296899748713916
A354	S3	Triticale	5m	03-mai	Aphidius_sp.	0.273	18.4083864	3.725917031	15.88229038	0.555426496	0.400532696	0	0.633379113	3.577536543	0.831667753	39.60593212	0.0261049735142555
A48	S3	Triticale	50m	03-mai	A._rhopalosiphi_?	0.182	67.75004058	15.8996249	5.533053145	0.979820813	2.832165582	0.048096893	0.547187145	4.800797772	0.809926019	93.58998906	0.036621968379574
A226	S3	Triticale	5m	08-mai	A._matricariae_?	0.057	43.94773681	20.5270279	8.63733141	0.160099019	2.741789421	2.45716058	12.62323578	6.1067908	0.681626944	91.09438092	0.195645281311606
A379	I1	Intercrop	50m	08-mai	A._ervi	0.143	27.70390375	9.010592414	0.626322188	0.395427731	0.001388337	0	0.201317693	1.949047569	0.754576711	37.93895211	0.00534295278931994
A353	S3	Triticale	5m	03-mai	A._ervi	0.216	66.89799681	42.88341019	4.06895851	1.001438326	1.528832259	0.07760068	0.301985005	4.010293865	0.609374562	116.7602218	0.0163447612087356
A338	S3	Triticale	5m	03-mai	A._ervi	0.203	88.8721329	41.13018147	6.31041193	0.929828671	1.03629444	0.091633199	0.325916689	2.753349821	0.683619621	138.6963993	0.0104822067143599
A37	S3	Triticale	50m	08-mai	A._rhopalosiphi	0.111	77.49316468	31.92433404	4.556373884	0.793849736	1.525956324	0.065432447	0.230024806	6.340999639	0.708233743	116.5891359	0.0156224982966016
A352	S3	Triticale	5m	03-mai	A._uzbekistanicus_?	0.08	46.25238722	13.54652144	4.418340971	0.364958654	1.464079512	0.067446942	0.169552711	3.303181605	0.773465407	66.28328745	0.025663771826091
