Week	Position	Field	Type	Tot_aphids	S_avenae	M_dirhodum	R_padi	Aphidius_mummies	Ephedrus_mummies	Praon_mummies	Tot_mummies	NBp_aphids	NBp_Sa	NBp_Md	NBp_Rp	NBp_Aphi	NBp_Ephe	NBp_Pra	NBp_mom_tot
17	5m	S1	Single_crop	17	17	0	0	2	0	0	2	11	11	0	0	2	0	0	2
17	5m	I5	Intercrop	4	4	0	0	1	0	0	1	4	4	0	0	1	0	0	1
17	5m	S2	Single_crop	7	5	2	0	2	0	0	2	6	4	2	0	2	0	0	2
17	5m	I1	Intercrop	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0
17	5m	I2	Intercrop	14	4	10	0	5	0	0	5	4	3	1	0	5	0	0	5
17	5m	I6	Intercrop	9	9	0	0	1	0	0	1	4	4	0	0	1	0	0	1
17	5m	I3	Intercrop	1	0	1	0	1	0	0	1	1	0	1	0	1	0	0	1
17	5m	I4	Intercrop	2	2	0	0	3	0	0	3	2	2	0	0	3	0	0	3
17	5m	S3	Single_crop	4	4	0	0	1	0	0	1	4	4	0	0	1	0	0	1
17	5m	S4	Single_crop	19	18	1	0	1	0	0	1	4	3	1	0	1	0	0	1
17	5m	S5	Single_crop	5	5	0	0	1	0	0	1	3	3	0	0	1	0	0	1
17	5m	S6	Single_crop	11	11	0	0	8	0	0	8	7	7	0	0	7	0	0	7
17	50m	S1	Single_crop	5	4	1	0	1	0	0	1	5	4	1	0	1	0	0	1
17	50m	I5	Intercrop	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1
17	50m	S2	Single_crop	2	2	0	0	5	0	0	5	2	2	0	0	5	0	0	5
17	50m	I1	Intercrop	7	7	0	0	1	0	0	1	4	4	0	0	1	0	0	1
17	50m	I2	Intercrop	2	2	0	0	2	0	0	2	2	2	0	0	2	0	0	2
17	50m	I6	Intercrop	29	29	0	0	3	0	0	3	7	7	0	0	3	0	0	3
17	50m	I3	Intercrop	5	5	0	0	1	0	0	1	5	5	0	0	1	0	0	1
17	50m	I4	Intercrop	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	50m	S3	Single_crop	11	7	4	0	2	0	0	2	11	7	4	0	2	0	0	2
17	50m	S4	Single_crop	6	5	1	0	3	0	0	3	6	5	1	0	3	0	0	3
17	50m	S5	Single_crop	2	1	1	0	1	0	0	1	2	1	1	0	1	0	0	1
17	50m	S6	Single_crop	15	14	1	0	5	0	0	5	11	10	1	0	5	0	0	5
18	5m	S1	Single_crop	15	15	0	0	2	0	0	2	5	5	0	0	2	0	0	2
18	5m	I5	Intercrop	16	15	1	0	9	0	0	9	3	2	1	0	8	0	0	8
